gutenberg_id	word
35	octagonal
35	tables
35	scattered
35	set
35	front
35	fire
35	legs
35	hearthrug
35	table
35	mechanism
35	drew
35	chair
35	sat
35	object
35	table
35	shaded
35	lamp
35	bright
35	light
35	fell
35	model
35	dozen
35	candles
35	brass
35	candlesticks
35	mantel
35	sconces
35	brilliantly
35	illuminated
35	sat
35	low
35	arm
35	chair
35	nearest
35	fire
35	drew
35	forward
35	time
35	traveller
35	fireplace
35	filby
35	sat
35	shoulder
35	medical
35	provincial
35	mayor
35	watched
35	profile
35	psychologist
35	left
35	stood
35	psychologist
35	alert
35	appears
35	incredible
35	trick
35	subtly
35	conceived
35	adroitly
35	played
35	conditions
35	time
35	traveller
35	looked
35	mechanism
35	psychologist
35	affair
35	time
35	traveller
35	resting
35	elbows
35	table
35	pressing
35	hands
35	apparatus
35	model
35	plan
35	machine
35	travel
35	time
35	notice
35	singularly
35	askew
35	odd
35	twinkling
35	appearance
35	bar
35	unreal
35	finger
35	white
35	lever
35	medical
35	chair
35	peered
35	beautifully
35	retorted
35	time
35	traveller
35	imitated
35	action
35	medical
35	understand
35	lever
35	pressed
35	sends
35	machine
35	gliding
35	future
35	reverses
35	motion
35	saddle
35	represents
35	seat
35	time
35	traveller
35	presently
35	press
35	lever
35	machine
35	vanish
35	pass
35	future
35	time
35	disappear
35	table
35	satisfy
35	trickery
35	waste
35	model
35	told
35	quack
35	minute's
35	pause
35	psychologist
35	speak
35	changed
35	mind
35	time
35	traveller
35	finger
35	lever
35	suddenly
35	lend
35	hand
35	psychologist
35	individual's
35	hand
35	told
35	forefinger
35	psychologist
35	model
35	time
35	machine
35	interminable
35	voyage
35	lever
35	absolutely
35	trickery
35	breath
35	wind
35	lamp
35	flame
35	jumped
35	candles
35	mantel
35	blown
35	machine
35	suddenly
35	swung
35	round
35	indistinct
35	ghost
35	eddy
35	faintly
35	glittering
35	brass
35	ivory
35	vanished
35	save
35	lamp
35	table
35	bare
35	silent
35	minute
35	filby
35	damned
35	psychologist
35	recovered
35	stupor
35	suddenly
35	looked
35	table
35	time
35	traveller
35	laughed
35	cheerfully
35	reminiscence
35	psychologist
35	tobacco
35	jar
35	mantel
35	fill
35	pipe
35	stared
35	medical
35	earnest
35	machine
35	travelled
35	time
35	time
35	traveller
35	stooping
35	light
35	spill
35	fire
35	lighting
35	pipe
35	psychologist's
35	psychologist
35	unhinged
35	helped
35	cigar
35	light
35	uncut
35	machine
35	finished
35	laboratory
35	journey
35	account
35	machine
35	travelled
35	future
35	filby
35	future
35	past
35	interval
35	psychologist
35	inspiration
35	past
35	time
35	traveller
35	presume
35	moved
35	space
35	travelled
35	future
35	time
35	travelled
35	time
35	travelled
35	past
35	visible
35	thursday
35	thursday
35	objections
35	remarked
35	provincial
35	mayor
35	air
35	impartiality
35	time
35	traveller
35	bit
35	time
35	traveller
35	psychologist
35	explain
35	presentation
35	threshold
35	diluted
35	presentation
35	psychologist
35	reassured
35	simple
35	psychology
35	plain
35	helps
35	paradox
35	delightfully
35	machine
35	spoke
35	wheel
35	spinning
35	bullet
35	flying
35	air
35	travelling
35	time
35	fifty
35	times
35	hundred
35	times
35	faster
35	minute
35	impression
35	creates
35	fiftieth
35	hundredth
35	travelling
35	time
35	plain
35	passed
35	hand
35	space
35	machine
35	laughing
35	sat
35	stared
35	vacant
35	table
35	minute
35	time
35	traveller
35	sounds
35	plausible
35	night
35	medical
35	wait
35	morrow
35	wait
35	common
35	sense
35	morning
35	time
35	machine
35	time
35	traveller
35	therewith
35	taking
35	lamp
35	hand
35	led
35	draughty
35	corridor
35	laboratory
35	remember
35	vividly
35	flickering
35	light
35	queer
35	broad
35	head
35	silhouette
35	dance
35	shadows
35	puzzled
35	incredulous
35	laboratory
35	beheld
35	larger
35	edition
35	mechanism
35	vanish
35	eyes
35	nickel
35	ivory
35	filed
35	sawn
35	rock
35	crystal
35	complete
35	twisted
35	crystalline
35	bars
35	lay
35	unfinished
35	bench
35	sheets
35	drawings
35	quartz
35	medical
35	perfectly
35	trick
35	ghost
35	christmas
35	machine
35	time
35	traveller
35	holding
35	lamp
35	aloft
35	intend
35	explore
35	time
35	plain
35	life
35	caught
35	filby's
35	eye
35	shoulder
35	medical
35	winked
35	solemnly
35	ii
35	time
35	believed
35	time
35	machine
35	time
35	traveller
35	clever
35	believed
35	round
35	suspected
35	subtle
35	reserve
35	ingenuity
35	ambush
35	lucid
35	frankness
35	filby
35	shown
35	model
35	explained
35	matter
35	time
35	traveller's
35	words
35	shown
35	_him_
35	scepticism
35	perceived
35	motives
35	pork
35	butcher
35	understand
35	filby
35	time
35	traveller
35	touch
35	whim
35	elements
35	distrusted
35	frame
35	clever
35	tricks
35	hands
35	mistake
35	easily
35	people
35	deportment
35	aware
35	trusting
35	reputations
35	judgment
35	furnishing
35	nursery
35	egg
35	shell
35	china
35	time
35	travelling
35	interval
35	thursday
35	odd
35	potentialities
35	ran
35	doubt
35	minds
35	plausibility
35	practical
35	incredibleness
35	curious
35	possibilities
35	anachronism
35	utter
35	confusion
35	suggested
35	preoccupied
35	trick
35	model
35	remember
35	discussing
35	medical
